"date_time","average_ndsi","date","time","sensor_id","grid"
"2025-10-08 13:00:00",-0.0240115121129134,"2025-10-08","13:00","2MM05921","55"
"2025-10-08 14:00:00",-0.661145286468555,"2025-10-08","14:00","2MM05921","55"
"2025-10-08 15:00:00",-0.817953425943189,"2025-10-08","15:00","2MM05921","55"
"2025-10-08 16:00:00",-0.880033675831299,"2025-10-08","16:00","2MM05921","55"
"2025-10-08 17:00:00",-0.590221353030256,"2025-10-08","17:00","2MM05921","55"
"2025-10-08 18:00:00",-0.756134306389395,"2025-10-08","18:00","2MM05921","55"
"2025-10-08 19:00:00",-0.903834150510133,"2025-10-08","19:00","2MM05921","55"
"2025-10-08 20:00:00",-0.869349068412996,"2025-10-08","20:00","2MM05921","55"
"2025-10-08 21:00:00",-0.897282264222183,"2025-10-08","21:00","2MM05921","55"
"2025-10-09 13:00:00",-0.837398323943247,"2025-10-09","13:00","2MM05921","55"
"2025-10-09 14:00:00",-0.827844014092935,"2025-10-09","14:00","2MM05921","55"
"2025-10-09 15:00:00",-0.542629637347511,"2025-10-09","15:00","2MM05921","55"
"2025-10-09 16:00:00",-0.731771036435114,"2025-10-09","16:00","2MM05921","55"
"2025-10-09 17:00:00",-0.876791834203064,"2025-10-09","17:00","2MM05921","55"
"2025-10-09 18:00:00",-0.879702858922124,"2025-10-09","18:00","2MM05921","55"
"2025-10-09 19:00:00",-0.90109202419071,"2025-10-09","19:00","2MM05921","55"
"2025-10-09 20:00:00",-0.901463490088718,"2025-10-09","20:00","2MM05921","55"
"2025-10-09 21:00:00",-0.902202306818749,"2025-10-09","21:00","2MM05921","55"
"2025-10-10 13:00:00",-0.881937218776567,"2025-10-10","13:00","2MM05921","55"
"2025-10-10 14:00:00",-0.448089738644259,"2025-10-10","14:00","2MM05921","55"
"2025-10-10 15:00:00",-0.376496420409569,"2025-10-10","15:00","2MM05921","55"
"2025-10-10 16:00:00",-0.816392307557206,"2025-10-10","16:00","2MM05921","55"
"2025-10-10 17:00:00",-0.734145068944511,"2025-10-10","17:00","2MM05921","55"
"2025-10-10 18:00:00",0.0454519340530813,"2025-10-10","18:00","2MM05921","55"
"2025-10-10 19:00:00",-0.913403882473091,"2025-10-10","19:00","2MM05921","55"
"2025-10-10 20:00:00",-0.85184821452097,"2025-10-10","20:00","2MM05921","55"
"2025-10-10 21:00:00",-0.883593435200526,"2025-10-10","21:00","2MM05921","55"
"2025-10-11 13:00:00",-0.6919419101105,"2025-10-11","13:00","2MM05921","55"
"2025-10-11 14:00:00",-0.390610755499395,"2025-10-11","14:00","2MM05921","55"
"2025-10-11 15:00:00",-0.715723972004539,"2025-10-11","15:00","2MM05921","55"
"2025-10-11 16:00:00",-0.528411428766654,"2025-10-11","16:00","2MM05921","55"
"2025-10-11 17:00:00",-0.777915722499594,"2025-10-11","17:00","2MM05921","55"
"2025-10-11 18:00:00",0.0941890534106828,"2025-10-11","18:00","2MM05921","55"
"2025-10-11 19:00:00",-0.897360786237943,"2025-10-11","19:00","2MM05921","55"
"2025-10-11 20:00:00",-0.905114192869898,"2025-10-11","20:00","2MM05921","55"
"2025-10-11 21:00:00",-0.828978117917227,"2025-10-11","21:00","2MM05921","55"
"2025-10-12 13:00:00",-0.657204405411928,"2025-10-12","13:00","2MM05921","55"
"2025-10-12 14:00:00",-0.506968589935817,"2025-10-12","14:00","2MM05921","55"
"2025-10-12 15:00:00",-0.458675641178961,"2025-10-12","15:00","2MM05921","55"
"2025-10-12 16:00:00",-0.468964136305426,"2025-10-12","16:00","2MM05921","55"
"2025-10-12 17:00:00",-0.809363873251475,"2025-10-12","17:00","2MM05921","55"
"2025-10-12 18:00:00",-0.854089367591429,"2025-10-12","18:00","2MM05921","55"
"2025-10-12 19:00:00",-0.8933947539782,"2025-10-12","19:00","2MM05921","55"
"2025-10-12 20:00:00",-0.901183554832046,"2025-10-12","20:00","2MM05921","55"
"2025-10-12 21:00:00",-0.807760321271608,"2025-10-12","21:00","2MM05921","55"
"2025-10-13 13:00:00",-0.859163837528684,"2025-10-13","13:00","2MM05921","55"
"2025-10-13 14:00:00",-0.807909467638524,"2025-10-13","14:00","2MM05921","55"
"2025-10-13 15:00:00",-0.22612411566963,"2025-10-13","15:00","2MM05921","55"
"2025-10-13 16:00:00",-0.355658929696678,"2025-10-13","16:00","2MM05921","55"
"2025-10-13 17:00:00",-0.660458284610642,"2025-10-13","17:00","2MM05921","55"
"2025-10-13 18:00:00",-0.545549318398065,"2025-10-13","18:00","2MM05921","55"
"2025-10-13 19:00:00",-0.909269021241348,"2025-10-13","19:00","2MM05921","55"
"2025-10-13 20:00:00",-0.867419168863179,"2025-10-13","20:00","2MM05921","55"
"2025-10-13 21:00:00",-0.700393032547352,"2025-10-13","21:00","2MM05921","55"
"2025-10-14 13:00:00",-0.669046291044743,"2025-10-14","13:00","2MM05921","55"
"2025-10-14 14:00:00",-0.727595882041693,"2025-10-14","14:00","2MM05921","55"
"2025-10-14 15:00:00",-0.476826164451417,"2025-10-14","15:00","2MM05921","55"
"2025-10-14 16:00:00",-0.759782379791694,"2025-10-14","16:00","2MM05921","55"
"2025-10-14 17:00:00",-0.499678362534395,"2025-10-14","17:00","2MM05921","55"
"2025-10-14 18:00:00",-0.704207772456507,"2025-10-14","18:00","2MM05921","55"
