title,Group_number,Grid,lat_Sensor_location,long_Sensor_location,accuracy_Sensor_location,Habitat,Other_habitat_desc,Modified_habitat,Recorder_SerialNumbe,Recorder_Height_cm,Species_Richness,Shannons _Index,ACI_Score
2025 18,8,18,51.414665,-0.651197,4,Woodland,,Woodland,2MM07108,80,,,
2025 108,14,108,51.412405,-0.639525,4,Woodland,,Woodland,2MM07104,140,,,
2025 49,2,49,51.411967,-0.647113,6,Woodland,Camera 15,Woodland,2MM06339,130,,,
2025 13,7,13,51.410168,-0.65162,1,Grassland,,Grassland,2MM07014,100,,,
2025 97,12,97,51.409869,-0.640936,18,Other,Woodland close to buildings,Woodland,2MM06378,120,,,
2025 80,1,80,51.409642,-0.63994,10,Woodland,,Woodland,2MM06380,100,,,
2025 45,6,45,51.407777,-0.646617,6,Woodland,By a stream,Riverine,2MM06423,170,,,
2025 85,10,85,51.41458,-0.643689,10,Woodland,,Woodland,2MM07168,100,,,
2025 16,11,16,51.412567,-0.651838,160,Woodland,,Woodland,2MM07156,203,,,
2025 55,13,55,51.406849,-0.646688,3,Woodland,,Woodland,2MM05921,160,,,
2025 63,5,63,51.413261,-0.646624,4,Woodland,"Loggers are a few metres apart, but all in 63. Camera trap positioned to be facing lake",Woodland,2MM06338,100,,,
2025 14,3,14,51.410847,-0.651972,5,Woodland,"Woodland slope, banking down from the periphery of a grassland",Woodland,2mm07158,145,,,
2025 60,9,60,51.409478,-0.639849,20,Woodland,,Woodland,2MM06374,1,,,
2025 68,4,68,51.407777,-0.645094,5,Woodland,"Dry, sycamore dominated woodland near fence",Woodland,6276,145,,,
2025 NHM4,9992,NHM4,51.496483,-0.178454,4,Garden,,Garden,2MM06422,80,,,
2025 NHM3,9992,NHM3,51.495527,-0.178359,14,Woodland,,Woodland,2MM05938,170,,,
2025 NHM2,9992,NHM2,51.495832,-0.178122,10,Other,Pond,Pond,2MM07112,170,,,
2025 NHM1,9991,NHM1,51.496004,-0.178549,10,Woodland,,Woodland,2MM07005,100,,,
