"TreeID","species","northing","easting","latitude","longtitude","SPlocation","remarks"
1,"Quercus robur","168488","494341","51.4076","-0.645006","Rookery Slope","NA
"
2,"Quercus robur","168484","494342","51.4075","-0.644996","Rookery Slope","NA
"
3,"Quercus robur","168486","494340","51.4076","-0.645028","Rookery Slope","NA
"
4,"Quercus robur","168478","494337","51.4075","-0.645068","Rookery Slope","veteran
"
5,"Quercus robur","168490","494354","51.4076","-0.64483","Rookery Slope","veteran
"
6,"Quercus robur","168698","494228","51.4095","-0.646574","Elm Slope","veteran
"
7,"Quercus robur","168694","494225","51.4095","-0.646619","Elm Slope","veteran
"
8,"Quercus robur","169286","494167","51.4148","-0.647315","Farm Wood","NA
"
9,"Quercus robur","169290","494163","51.4148","-0.647357","Farm Wood","NA
"
10,"Quercus robur","169230","493937","51.4143","-0.650617","Farm Wood","Once this tree has two marks (#20 and 1959); so also was TreeID 3041 now removed
"
11,"Quercus robur","169228","493937","51.4143","-0.650627","Farm Wood","NA
"
12,"Quercus robur","169228","493935","51.4143","-0.650647","Farm Wood","NA
"
13,"Quercus robur","169225","493948","51.4143","-0.650461","Farm Wood","NA
"
14,"Quercus robur","169220","493954","51.4142","-0.650387","Farm Wood","NA
"
15,"Quercus robur","169239","493918","51.4144","-0.650892","Farm Wood","NA
"
16,"Quercus robur","169150","493719","51.4136","-0.653771",NA,"NA
"
17,"Quercus robur","169147","493720","51.4136","-0.653763",NA,"NA
"
18,"Quercus robur","169150","493714","51.4136","-0.653855",NA,"from pheonology data 2007-2013
"
19,"Quercus robur","169147","493716","51.4136","-0.653825",NA,"NA
"
20,"Quercus robur","169146","493713","51.4136","-0.653861",NA,"from phenology 2018
"
21,"Quercus robur","169145","493712","51.4136","-0.653872",NA,"Outside Silwood
"
22,"Quercus robur","169131","493711","51.4135","-0.653893",NA,"NA
"
23,"Quercus robur","169155","493718","51.4137","-0.653794",NA,"NA
"
24,"Quercus robur","169167","493722","51.4138","-0.653729",NA,"NA
"
25,"Quercus robur","169153","493713","51.4137","-0.653862",NA,"NA
"
26,"Quercus robur","168553","494427","51.4082","-0.643763","Drive Hill","sold land
"
27,"Quercus robur","168557","494409","51.4082","-0.64401",NA,"sold land
"
28,"Quercus robur","168640","494388","51.4089","-0.644298","Elm Slope","NA
"
29,"Quercus robur","168642","494378","51.409","-0.64444","Elm Slope","NA
"
30,"Quercus robur","168642","494376","51.409","-0.644467","Elm Slope","NA
"
31,"Quercus robur","168647","494373","51.409","-0.64451","Elm Slope","NA
"
32,"Quercus robur","168643","494372","51.409","-0.644526","Elm Slope","NA
"
33,"Quercus robur","168646","494376","51.409","-0.64446","Elm Slope","NA
"
34,"Quercus robur","168651","494377","51.409","-0.644451","Elm Slope","NA
"
35,"Quercus robur","168641","494383","51.4089","-0.644361","Elm Slope","NA
"
36,"Quercus robur","168660","494402","51.4091","-0.644083","Elm Slope","NA
"
37,"Quercus robur","168907","494306","51.4114","-0.645407","Gunnes's hill","NA
"
38,"Quercus robur","168903","494300","51.4113","-0.645497","Gunnes's hill","NA
"
39,"Quercus robur","168901","494297","51.4113","-0.645527","Gunnes's hill","NA
"
40,"Quercus robur","168894","494295","51.4112","-0.645563","Gunnes's hill","NA
"
41,"Quercus robur","168897","494298","51.4113","-0.645527","Gunnes's hill","NA
"
42,"Quercus robur","168896","494302","51.4113","-0.64546","Gunnes's hill","NA
"
43,"Quercus robur","168898","494301","51.4113","-0.645484","Gunnes's hill","NA
"
44,"Quercus robur","168893","494302","51.4112","-0.645468","Gunnes's hill","NA
"
45,"Quercus robur","168911","494294","51.4114","-0.645577","Gunnes's hill","NA
"
46,"Quercus robur","168911","494296","51.4114","-0.645546","Gunnes's hill","NA
"
47,"Quercus robur","168920","494291","51.4115","-0.645618","Gunnes's hill","NA
"
48,"Quercus robur","168915","494294","51.4114","-0.645576","Gunnes's hill","NA
"
49,"Quercus robur","168914","494289","51.4114","-0.645649","Gunnes's hill","NA
"
50,"Quercus robur","168931","494291","51.4116","-0.645618","Gunnes's hill","NA
"
51,"Quercus robur","168917","494297","51.4114","-0.645531","Gunnes's hill","NA
"
52,"Quercus robur","168924","494301","51.4115","-0.645464","Gunnes's hill","NA
"
53,"Quercus robur","168919","494308","51.4115","-0.645375","Gunnes's hill","NA
"
54,"Quercus robur","168919","494309","51.4115","-0.645359","Gunnes's hill","NA
"
55,"Quercus robur","168921","494311","51.4115","-0.645332","Gunnes's hill","NA
"
56,"Quercus robur","168916","494321","51.4114","-0.645183","Gunnes's hill","NA
"
57,"Quercus robur","168923","494320","51.4115","-0.645192","Gunnes's hill","NA
"
58,"Quercus robur","168916","494328","51.4114","-0.645092","Gunnes's hill","NA
"
59,"Quercus robur","168907","494324","51.4114","-0.645147","Gunnes's hill","NA
"
60,"Quercus robur","168901","494312","51.4113","-0.645316","Gunnes's hill","NA
"
61,"Quercus robur","168905","494318","51.4113","-0.645234","Gunnes's hill","NA
"
62,"Quercus robur","168909","494306","51.4114","-0.645408","Gunnes's hill","NA
"
63,"Quercus robur","168903","494301","51.4113","-0.645476","Gunnes's hill","NA
"
64,"Quercus robur","168899","494305","51.4113","-0.645419","Gunnes's hill","NA
"
65,"Quercus robur","169012","494653","51.4122","-0.640382","Merten's Acres","NA
"
66,"Quercus robur","169006","494668","51.4122","-0.640171","Merten's Acres","NA
"
67,"Quercus robur","168997","494666","51.4121","-0.640197","Merten's Acres","Tree core project
"
68,"Quercus robur","168990","494666","51.412","-0.640199","Merten's Acres","Tree core project
"
69,"Quercus robur","168967","494685","51.4118","-0.639941","Merten's Acres","veteran
"
70,"Quercus robur","168991","494649","51.4121","-0.640451","Merten's Acres","veteran
"
71,"Quercus robur","169004","494649","51.4122","-0.640454","Merten's Acres","NA
"
72,"Quercus robur","169004","494649","51.4122","-0.640453","Merten's Acres","NA
"
73,"Quercus robur","168997","494650","51.4121","-0.640428","Merten's Acres","NA
"
74,"Quercus robur","168995","494648","51.4121","-0.640457","Merten's Acres","NA
"
75,"Quercus robur","169003","494650","51.4122","-0.640434","Merten's Acres","NA
"
76,"Quercus robur","169008","494647","51.4122","-0.640471","Merten's Acres","NA
"
77,"Quercus robur","169006","494644","51.4122","-0.640511","Merten's Acres","NA
"
78,"Quercus robur","168998","494642","51.4121","-0.640553","Merten's Acres","NA
"
79,"Quercus robur","169011","494652","51.4122","-0.640397","Merten's Acres","NA
"
80,"Quercus robur","169010","494648","51.4122","-0.640467","Merten's Acres","NA
"
81,"Quercus robur","169012","494652","51.4122","-0.640406","Merten's Acres","Tree core project
"
82,"Quercus robur","169006","494634","51.4122","-0.640667","Merten's Acres","NA
"
83,"Quercus robur","169000","494636","51.4121","-0.640628","Merten's Acres","Tree core project
"
84,"Quercus robur","169000","494643","51.4121","-0.640538","Merten's Acres","NA
"
85,"Quercus robur","169009","494642","51.4122","-0.640546","Merten's Acres","NA
"
86,"Quercus robur","169017","494637","51.4123","-0.640609","Merten's Acres","NA
"
87,"Quercus robur","169025","494640","51.4124","-0.640569","Merten's Acres","NA
"
88,"Quercus robur","169029","494652","51.4124","-0.640403","Merten's Acres","NA
"
89,"Quercus robur","169026","494650","51.4124","-0.640427","Merten's Acres","NA
"
90,"Quercus robur","169030","494648","51.4124","-0.640461","Merten's Acres","NA
"
91,"Quercus robur","169030","494651","51.4124","-0.640412","Merten's Acres","NA
"
92,"Quercus robur","169033","494651","51.4124","-0.640405","Merten's Acres","NA
"
93,"Quercus robur","169026","494651","51.4124","-0.640412","Merten's Acres","NA
"
94,"Quercus robur","169032","494659","51.4124","-0.640296","Merten's Acres","NA
"
95,"Quercus robur","169025","494660","51.4124","-0.64028","Merten's Acres","NA
"
96,"Quercus robur","169026","494659","51.4124","-0.640291","Merten's Acres","Tree core project
"
97,"Quercus robur","169022","494662","51.4123","-0.640248","Merten's Acres","NA
"
98,"Quercus robur","169022","494658","51.4123","-0.640307","Merten's Acres","Tree core project
"
99,"Quercus robur","169016","494660","51.4123","-0.64029","Merten's Acres","NA
"
100,"Quercus robur","168907","494539","51.4113","-0.642048","Observatory Ridge","NA
"
101,"Quercus robur","168918","494536","51.4114","-0.642092","Observatory Ridge","NA
"
102,"Quercus robur","168927","494531","51.4115","-0.64217","Observatory Ridge","NA
"
103,"Quercus robur","168928","494542","51.4115","-0.642006","Observatory Ridge","NA
"
104,"Quercus robur","168927","494543","51.4115","-0.641998","Observatory Ridge","report dead in pheonology data/phenology data in 2015-2017 score 0
"
105,"Quercus robur","168927","494544","51.4115","-0.64198","Observatory Ridge","NA
"
106,"Quercus robur","168925","494544","51.4115","-0.641983","Observatory Ridge","NA
"
107,"Quercus robur","168919","494542","51.4114","-0.642002","Observatory Ridge","NA
"
108,"Quercus robur","168921","494548","51.4114","-0.641921","Observatory Ridge","NA
"
109,"Quercus robur","168917","494543","51.4114","-0.641995","Observatory Ridge","NA
"
110,"Quercus robur","168916","494548","51.4114","-0.641924","Observatory Ridge","NA
"
111,"Quercus robur","168917","494548","51.4114","-0.641925","Observatory Ridge","NA
"
112,"other Quercus","168925","494556","51.4115","-0.641812","Observatory Ridge","May be turkey oak
"
113,"Quercus robur","168922","494553","51.4114","-0.641845","Observatory Ridge","NA
"
114,"Quercus robur","168921","494552","51.4114","-0.641862","Observatory Ridge","NA
"
115,"Quercus robur","168925","494554","51.4115","-0.641829","Observatory Ridge","NA
"
116,"Quercus robur","168923","494556","51.4115","-0.641799","Observatory Ridge","NA
"
117,"Quercus robur","168921","494555","51.4114","-0.641815","Observatory Ridge","NA
"
118,"Quercus robur","168921","494555","51.4114","-0.641826","Observatory Ridge","NA
"
119,"Quercus robur","168914","494553","51.4114","-0.641849","Observatory Ridge","NA
"
120,"Quercus robur","168916","494554","51.4114","-0.64183","Observatory Ridge","NA
"
121,"Quercus robur","168914","494556","51.4114","-0.641801","Observatory Ridge","NA
"
122,"Quercus robur","168911","494559","51.4113","-0.641768","Observatory Ridge","NA
"
123,"Quercus robur","168908","494548","51.4113","-0.641918","Observatory Ridge","veteran
"
124,"Quercus robur","168906","494560","51.4113","-0.641747","Observatory Ridge","veteran
"
125,"Quercus robur","168907","494562","51.4113","-0.641725","Observatory Ridge","NA
"
126,"Quercus robur","168906","494562","51.4113","-0.64172","Observatory Ridge","NA
"
127,"Quercus robur","168894","494553","51.4112","-0.64185","Observatory Ridge","NA
"
128,"Quercus robur","168894","494553","51.4112","-0.64186","Observatory Ridge","NA
"
129,"Quercus robur","168901","494551","51.4113","-0.641882","Observatory Ridge","NA
"
130,"Quercus robur","168897","494545","51.4112","-0.641964","Observatory Ridge","NA
"
131,"Quercus robur","168887","494536","51.4111","-0.642101","Observatory Ridge","NA
"
132,"Quercus robur","168895","494539","51.4112","-0.642056","Observatory Ridge","NA
"
133,"Quercus robur","168897","494543","51.4112","-0.642003","Observatory Ridge","NA
"
134,"Quercus robur","168898","494543","51.4112","-0.642002","Observatory Ridge","NA
"
135,"Quercus robur","168902","494523","51.4113","-0.642287","Merten's Acres","veteran
"
136,"Quercus robur","168618","494199","51.4088","-0.64702","Rookery Slope","NA
"
137,"Quercus robur","168645","494193","51.409","-0.647103","Rookery Slope","NA
"
138,"Quercus robur","168651","494195","51.4091","-0.647014","Rookery Slope","NA
"
139,"Quercus robur","168652","494198","51.4091","-0.647079","Rookery Slope","NA
"
140,"Quercus robur","168644","494201","51.409","-0.646987","Rookery Slope","NA
"
141,"Quercus robur","169184","494448","51.4138","-0.643291","The Elms","NA
"
142,"Quercus robur","169187","494448","51.4138","-0.643288","The Elms","NA
"
143,"Quercus robur","169185","494444","51.4138","-0.64335",NA,"NA
"
144,"Quercus robur","169185","494442","51.4138","-0.64338",NA,"NA
"
145,"Quercus robur","169190","494435","51.4139","-0.643472",NA,"NA
"
146,"Quercus robur","169186","494437","51.4138","-0.643439",NA,"NA
"
147,"Quercus robur","169175","494438","51.4137","-0.643429",NA,"NA
"
148,"Quercus robur","169169","494438","51.4137","-0.643433",NA,"NA
"
149,"Quercus robur","169167","494435","51.4137","-0.643477",NA,"NA
"
150,"Quercus robur","169160","494441","51.4136","-0.643397",NA,"veteran
"
151,"Quercus robur","169184","494440","51.4138","-0.64341",NA,"NA
"
152,"Quercus robur","169181","494439","51.4138","-0.643418",NA,"NA
"
153,"Quercus robur","169181","494433","51.4138","-0.643502",NA,"NA
"
154,"Quercus robur","169183","494435","51.4138","-0.64347",NA,"NA
"
155,"Quercus robur","169188","494431","51.4139","-0.643531",NA,"NA
"
156,"Quercus robur","169184","494433","51.4138","-0.643508",NA,"NA
"
157,"Quercus robur","169184","494432","51.4138","-0.643516",NA,"NA
"
158,"Quercus robur","169188","494425","51.4139","-0.643622",NA,"NA
"
159,"Quercus robur","169182","494429","51.4138","-0.643564",NA,"NA
"
160,"Quercus robur","169184","494396","51.4138","-0.64403",NA,"NA
"
161,"Quercus robur","169181","494402","51.4138","-0.643954",NA,"NA
"
162,"Quercus robur","169183","494402","51.4138","-0.643947",NA,"NA
"
163,"Quercus robur","169182","494402","51.4138","-0.643946",NA,"NA
"
164,"Quercus robur","169183","494412","51.4138","-0.6438",NA,"NA
"
165,"Quercus robur","169184","494408","51.4138","-0.643862",NA,"NA
"
166,"Quercus robur","169187","494408","51.4139","-0.643861",NA,"NA
"
167,"Quercus robur","169182","494415","51.4138","-0.643758",NA,"NA
"
168,"Quercus robur","169188","494408","51.4139","-0.643857",NA,"NA
"
169,"Quercus robur","169187","494412","51.4138","-0.643799",NA,"NA
"
170,"Quercus robur","169184","494409","51.4138","-0.643848",NA,"NA
"
171,"Quercus robur","169183","494411","51.4138","-0.64382",NA,"NA
"
172,"Quercus robur","169181","494413","51.4138","-0.643788",NA,"NA
"
173,"Quercus robur","169181","494413","51.4138","-0.643788",NA,"NA
"
174,"Quercus robur","169182","494410","51.4138","-0.64383",NA,"NA
"
175,"Quercus robur","169181","494413","51.4138","-0.643798",NA,"NA
"
176,"Quercus robur","169183","494414","51.4138","-0.643776",NA,"NA
"
177,"Quercus robur","169186","494421","51.4138","-0.643674",NA,"NA
"
178,"Quercus robur","169185","494420","51.4138","-0.643697",NA,"NA
"
179,"Quercus robur","169182","494425","51.4138","-0.643624",NA,"NA
"
180,"Quercus robur","169182","494425","51.4138","-0.643624",NA,"NA
"
181,"Quercus robur","169183","494425","51.4138","-0.643616",NA,"NA
"
182,"Quercus robur","169182","494429","51.4138","-0.643564",NA,"NA
"
183,"Quercus robur","169182","494429","51.4138","-0.643564",NA,"NA
"
184,"Quercus robur","169192","494425","51.4139","-0.643611",NA,"NA
"
185,"Quercus robur","169192","494433","51.4139","-0.643499",NA,"NA
"
186,"Quercus robur","169232","493996","51.4143","-0.649768","Farm Wood","NA
"
187,"Quercus robur","169244","494012","51.4144","-0.649535","Farm Wood","veteran
"
188,"Quercus robur","169230","494002","51.4143","-0.649683","Farm Wood","NA
"
189,"Quercus robur","169220","493999","51.4142","-0.649729","Farm Wood","NA
"
190,"Quercus robur","169214","494002","51.4142","-0.649694","Farm Wood","NA
"
191,"Quercus robur","169213","494004","51.4142","-0.64967","Farm Wood","NA
"
192,"Quercus robur","169215","493988","51.4142","-0.649897","Farm Wood","NA
"
193,"Quercus robur","169226","493998","51.4143","-0.649751","Farm Wood","NA
"
194,"Quercus robur","169230","493998","51.4143","-0.649738","Farm Wood","NA
"
195,"Quercus robur","169260","493998","51.4146","-0.649736","Farm Wood","NA
"
196,"Quercus robur","169409","493863","51.4159","-0.651644","Pound Hill Field","NA
"
197,"Quercus robur","169409","493862","51.4159","-0.651649","Pound Hill Field","NA
"
198,"Quercus robur","169413","493864","51.416","-0.651629","Pound Hill Field","NA
"
199,"Quercus robur","169406","493874","51.4159","-0.651486","Pound Hill Field","NA
"
200,"Quercus robur","169405","493880","51.4159","-0.651392","Pound Hill Field","NA
"
201,"Quercus robur","169385","493868","51.4157","-0.651574","Pound Hill Field","NA
"
202,"Quercus robur","169391","493869","51.4158","-0.651563","Pound Hill Field","NA
"
203,"Quercus robur","169413","493882","51.416","-0.651362","Pound Hill Field","NA
"
204,"Quercus robur","169422","493884","51.416","-0.651332","Pound Hill Field","NA
"
205,"Quercus robur","169424","493880","51.4161","-0.651393","Pound Hill Field","NA
"
206,"Quercus robur","169412","493854","51.416","-0.65177","Pound Hill Field","NA
"
207,"Quercus robur","169412","493855","51.416","-0.651759","Pound Hill Field","NA
"
208,"Quercus robur","169416","493848","54.2881","-5.54432","Pound Hill Field","NA
"
209,"Quercus robur","169423","493848","51.4161","-0.651852","Pound Hill Field","NA
"
210,"Quercus robur","169420","493848","51.416","-0.651851","Pound Hill Field","NA
"
211,"Quercus robur","169322","494168","51.4151","-0.64727","Cheapside Field","NA
"
212,"Quercus robur","169321","494167","51.4151","-0.647289","Cheapside Field","NA
"
213,"Quercus robur","169321","494166","51.4151","-0.647307","Cheapside Field","NA
"
214,"Quercus robur","169319","494166","51.4151","-0.647309","Cheapside Field","NA
"
215,"Quercus robur","169311","494159","51.415","-0.647411","Cheapside Field","NA
"
216,"Quercus robur","169317","494160","51.4151","-0.647387","Cheapside Field","NA
"
217,"Quercus robur","169317","494155","51.4151","-0.647464","Cheapside Field","NA
"
218,"Quercus robur","169322","494153","51.4151","-0.64749","Cheapside Field","NA
"
219,"Quercus robur","169328","494155","51.4152","-0.647462","Cheapside Field","NA
"
220,"Quercus robur","169306","494151","51.415","-0.64753","Cheapside Field","NA
"
221,"Quercus robur","169302","494161","51.4149","-0.647378","Cheapside Field","NA
"
222,"Quercus robur","169324","494185","51.4151","-0.647035","Cheapside Field","NA
"
