VisitID,TreeID,score,note,date
2826,1621,>1,"NA
",08/04/2015
2827,1423,>1,"NA
",08/04/2015
2828,639,<1,"NA
",08/04/2015
2829,1374,0,"NA
",08/04/2015
2830,657,<1,"NA
",08/04/2015
2831,652,<1,"NA
",08/04/2015
2832,88,0,"NA
",08/04/2015
2833,89,0,"NA
",08/04/2015
2834,90,<1,"NA
",08/04/2015
2835,93,0,"NA
",08/04/2015
2836,1333,0,"NA
",08/04/2015
2837,1351,0,"NA
",08/04/2015
2838,1352,0,"NA
",08/04/2015
2839,1356,0,"NA
",08/04/2015
2840,1361,>1,"NA
",08/04/2015
2841,1736,>2,"NA
",08/04/2015
2842,1737,>2,"NA
",08/04/2015
2843,1626,<1,"NA
",08/04/2015
2844,807,<1,"NA
",08/04/2015
2845,1649,>1,"NA
",08/04/2015
2846,80,0,"NA
",09/04/2015
2847,83,<1,"NA
",09/04/2015
2848,94,0,"NA
",09/04/2015
2849,95,>1,"NA
",09/04/2015
2850,96,<1,"NA
",09/04/2015
2851,97,0,"NA
",09/04/2015
2852,1491,0,"NA
",09/04/2015
2853,1542,0,"NA
",09/04/2015
2854,98,<1,"NA
",09/04/2015
2855,77,0,"NA
",09/04/2015
2856,92,>1,"NA
",09/04/2015
2857,694,<1,"NA
",09/04/2015
2858,1677,0,"NA
",09/04/2015
2859,1679,<1,"NA
",09/04/2015
2860,1683,0,"NA
",09/04/2015
2861,1702,0,"NA
",09/04/2015
2862,1704,0,"NA
",09/04/2015
2863,1707,0,"NA
",09/04/2015
2864,925,0,"NA
",09/04/2015
2865,1483,0,"NA
",09/04/2015
2866,1484,0,"NA
",09/04/2015
2867,1697,0,"NA
",09/04/2015
2868,119,0,"NA
",09/04/2015
2869,127,0,"NA
",09/04/2015
2870,128,<1,"NA
",09/04/2015
2871,104,0,"NA
",09/04/2015
2872,693,0,"NA
",09/04/2015
2873,727,0,"NA
",09/04/2015
2874,761,<1,"NA
",09/04/2015
2875,756,0,"NA
",09/04/2015
2876,764,<1,"NA
",09/04/2015
2877,116,<1,"NA
",09/04/2015
2878,1715,0,"NA
",09/04/2015
2879,1740,<1,"NA
",09/04/2015
2880,1746,0,"NA
",09/04/2015
2881,1748,0,"NA
",09/04/2015
2882,1749,0,"NA
",09/04/2015
2883,1759,0,"NA
",09/04/2015
2884,1719,0,"NA
",09/04/2015
2885,1722,0,"NA
",09/04/2015
2886,1731,0,"NA
",09/04/2015
2887,1426,<1,"NA
",09/04/2015
2888,1444,0,"NA
",09/04/2015
2889,1450,0,"NA
",09/04/2015
2890,1469,0,"NA
",09/04/2015
2891,1458,0,"NA
",09/04/2015
2892,1459,0,"NA
",09/04/2015
2893,1465,0,"NA
",09/04/2015
2894,913,0,"NA
",09/04/2015
2895,713,<1,"NA
",09/04/2015
2896,637,0,"NA
",09/04/2015
2897,1437,>1,"NA
",09/04/2015
2898,1448,0,"NA
",09/04/2015
2899,1452,0,"NA
",09/04/2015
2900,444,>1,"NA
",09/04/2015
2901,445,>1,"NA
",09/04/2015
2902,175,0,"NA
",09/04/2015
2903,182,<1,"NA
",09/04/2015
2904,147,0,"NA
",09/04/2015
2905,143,<1,"NA
",09/04/2015
2906,358,<1,"NA
",09/04/2015
2907,767,>1,"NA
",09/04/2015
2908,1524,0,"NA
",09/04/2015
2909,363,<1,"NA
",09/04/2015
2910,364,<1,"NA
",09/04/2015
2911,370,<1,"NA
",09/04/2015
2912,352,>1,"NA
",09/04/2015
2913,353,0,"NA
",09/04/2015
2914,356,<1,"NA
",09/04/2015
2915,748,<1,"NA
",09/04/2015
2916,11,<2,"NA
",09/04/2015
2917,1531,0,"NA
",09/04/2015
2918,1532,0,"NA
",09/04/2015
2919,1544,0,"NA
",09/04/2015
2920,10,<2,"NA
",09/04/2015
2921,2715,>1,"NA
",09/04/2015
2922,1944,>1,"NA
",09/04/2015
2923,190,>1,"NA
",09/04/2015
2924,188,<2,"NA
",09/04/2015
2925,193,>1,"NA
",09/04/2015
2926,194,>1,"NA
",09/04/2015
2927,984,0,"NA
",09/04/2015
2928,1100,>1,"NA
",09/04/2015
2929,1101,<2,"NA
",09/04/2015
2930,1096,0,"NA
",09/04/2015
2931,1969,0,"NA
",09/04/2015
2932,1104,<1,"NA
",09/04/2015
2933,828,0,"NA
",09/04/2015
2934,829,>1,"NA
",09/04/2015
2935,1163,<2,"NA
",09/04/2015
2936,1162,<2,"NA
",09/04/2015
2937,197,>2,"NA
",09/04/2015
2938,209,>1,"NA
",09/04/2015
2939,582,<1,"NA
",10/04/2015
2940,137,0,"NA
",10/04/2015
2941,138,0,"NA
",10/04/2015
2942,139,0,"NA
",10/04/2015
2943,140,0,"NA
",10/04/2015
2944,600,0,"NA
",10/04/2015
2945,601,0,"NA
",10/04/2015
2946,602,<1,"NA
",10/04/2015
2947,606,0,"NA
",10/04/2015
2948,2009,<2,"NA
",09/04/2015
2949,2012,<2,"NA
",09/04/2015
2950,30,>1,"NA
",10/04/2015
2951,34,0,"NA
",10/04/2015
2952,28,<1,"NA
",10/04/2015
2953,29,>1,"NA
",10/04/2015
2954,31,0,"NA
",10/04/2015
2955,1662,0,"NA
",10/04/2015
2956,870,0,"NA
",10/04/2015
2957,607,0,"NA
",10/04/2015
