"date_time","average_ndsi","date","time"
2025-10-07,-0.77421320071921,2025-10-07,"00:00"
2025-10-07 11:00:00,-0.562689018975695,2025-10-07,"11:00"
2025-10-07 22:00:00,-0.734455543988268,2025-10-07,"22:00"
2025-10-08 00:55:00,-0.744734615818057,2025-10-08,"00:55"
2025-10-08 11:55:00,-0.677098616073466,2025-10-08,"11:55"
2025-10-08 22:55:00,-0.742906713667763,2025-10-08,"22:55"
2025-10-09 10:05:00,-0.655601327136315,2025-10-09,"10:05"
2025-10-09 21:05:00,-0.736204315810025,2025-10-09,"21:05"
2025-10-10,-0.728186065790869,2025-10-10,"00:00"
2025-10-10 11:00:00,-0.622449325026784,2025-10-10,"11:00"
2025-10-10 22:00:00,-0.700371717895586,2025-10-10,"22:00"
2025-10-11 00:55:00,-0.711890635101103,2025-10-11,"00:55"
2025-10-11 11:55:00,-0.735106375450842,2025-10-11,"11:55"
2025-10-11 22:55:00,-0.777849952208123,2025-10-11,"22:55"
2025-10-12 10:05:00,-0.573845838393818,2025-10-12,"10:05"
2025-10-12 21:05:00,-0.730694783581211,2025-10-12,"21:05"
2025-10-13,-0.724157674851979,2025-10-13,"00:00"
2025-10-13 11:00:00,-0.698426835926341,2025-10-13,"11:00"
2025-10-13 22:00:00,-0.756543189953621,2025-10-13,"22:00"
2025-10-14 00:55:00,-0.54855515951958,2025-10-14,"00:55"
2025-10-14 11:55:00,-0.631150899042346,2025-10-14,"11:55"
2025-10-14 22:55:00,-0.676841944785679,2025-10-14,"22:55"
2025-10-15 10:05:00,-0.678869327405447,2025-10-15,"10:05"
2025-10-15 21:05:00,-0.673174389623253,2025-10-15,"21:05"
2025-10-16,-0.690041016338711,2025-10-16,"00:00"
2025-10-16 11:00:00,-0.574569699991385,2025-10-16,"11:00"
2025-10-16 22:00:00,-0.732870204330859,2025-10-16,"22:00"
2025-10-17 00:55:00,-0.723636247840856,2025-10-17,"00:55"
2025-10-17 11:55:00,NA,2025-10-17,"11:55"
