"","start","end","scientific_name","common_name","confidence","file"
"1",0,3,"Regulus regulus","Goldcrest",0.111612930893898,"20240802_054502.wav"
"2",3,6,"Bombycilla cedrorum","Cedar Waxwing",0.180618032813072,"20240802_054502.wav"
"3",6,9,NA,NA,NA,"20240802_054502.wav"
"4",9,12,NA,NA,NA,"20240802_054502.wav"
"5",12,15,NA,NA,NA,"20240802_054502.wav"
"6",15,18,NA,NA,NA,"20240802_054502.wav"
"7",18,21,"Poecile montanus","Willow Tit",0.168080523610115,"20240802_054502.wav"
"8",21,24,"Phylloscopus collybita","Common Chiffchaff",0.111449882388115,"20240802_054502.wav"
"9",24,27,"Aegithalos caudatus","Long-tailed Tit",0.20431225001812,"20240802_054502.wav"
"10",24,27,"Regulus regulus","Goldcrest",0.100762814283371,"20240802_054502.wav"
"11",27,30,NA,NA,NA,"20240802_054502.wav"
"12",30,33,"Aegithalos caudatus","Long-tailed Tit",0.965315282344818,"20240802_054502.wav"
"13",33,36,NA,NA,NA,"20240802_054502.wav"
"14",36,39,"Aegithalos caudatus","Long-tailed Tit",0.575257301330566,"20240802_054502.wav"
"15",39,42,"Aegithalos caudatus","Long-tailed Tit",0.183633595705032,"20240802_054502.wav"
"16",42,45,"Aegithalos caudatus","Long-tailed Tit",0.676986396312714,"20240802_054502.wav"
"17",42,45,"Rallus aquaticus","Water Rail",0.363373547792435,"20240802_054502.wav"
"18",45,48,"Turdus iliacus","Redwing",0.386251986026764,"20240802_054502.wav"
"19",45,48,"Aegithalos caudatus","Long-tailed Tit",0.213527917861938,"20240802_054502.wav"
"20",45,48,"Erithacus rubecula","European Robin",0.135630488395691,"20240802_054502.wav"
"21",48,51,"Turdus iliacus","Redwing",0.757094740867615,"20240802_054502.wav"
"22",51,54,"Aegithalos caudatus","Long-tailed Tit",0.709161043167114,"20240802_054502.wav"
"23",54,57,"Aegithalos caudatus","Long-tailed Tit",0.789589166641235,"20240802_054502.wav"
"24",57,60,"Aegithalos caudatus","Long-tailed Tit",0.985150635242462,"20240802_054502.wav"
"25",0,3,"Certhia familiaris","Eurasian Treecreeper",0.102571025490761,"20240802_055002.wav"
"26",3,6,"Pyrrhula pyrrhula","Eurasian Bullfinch",0.252001464366913,"20240802_055002.wav"
"27",6,9,NA,NA,NA,"20240802_055002.wav"
"28",9,12,"Troglodytes troglodytes","Eurasian Wren",0.297119498252869,"20240802_055002.wav"
"29",12,15,NA,NA,NA,"20240802_055002.wav"
"30",15,18,NA,NA,NA,"20240802_055002.wav"
"31",18,21,NA,NA,NA,"20240802_055002.wav"
"32",21,24,NA,NA,NA,"20240802_055002.wav"
"33",24,27,"Cyanistes caeruleus","Eurasian Blue Tit",0.190555438399315,"20240802_055002.wav"
"34",24,27,"Aegithalos caudatus","Long-tailed Tit",0.170726597309113,"20240802_055002.wav"
"35",27,30,"Parus major","Great Tit",0.248623132705688,"20240802_055002.wav"
"36",30,33,"Parus major","Great Tit",0.42348501086235,"20240802_055002.wav"
"37",33,36,NA,NA,NA,"20240802_055002.wav"
"38",36,39,"Baeolophus wollweberi","Bridled Titmouse",0.128235518932343,"20240802_055002.wav"
"39",39,42,"Aegithalos caudatus","Long-tailed Tit",0.589798986911774,"20240802_055002.wav"
"40",39,42,"Regulus ignicapilla","Common Firecrest",0.119881987571716,"20240802_055002.wav"
"41",42,45,"Certhia familiaris","Eurasian Treecreeper",0.404245257377625,"20240802_055002.wav"
"42",42,45,"Cyanistes caeruleus","Eurasian Blue Tit",0.235596194863319,"20240802_055002.wav"
"43",45,48,"Parus major","Great Tit",0.371301680803299,"20240802_055002.wav"
"44",48,51,"Aegithalos caudatus","Long-tailed Tit",0.487620741128922,"20240802_055002.wav"
"45",48,51,"Parus major","Great Tit",0.428718417882919,"20240802_055002.wav"
"46",51,54,"Aegithalos caudatus","Long-tailed Tit",0.282616198062897,"20240802_055002.wav"
"47",51,54,"Parus major","Great Tit",0.211327984929085,"20240802_055002.wav"
"48",51,54,"Cyanistes caeruleus","Eurasian Blue Tit",0.110558807849884,"20240802_055002.wav"
"49",54,57,"Aegithalos caudatus","Long-tailed Tit",0.937107086181641,"20240802_055002.wav"
"50",57,60,"Aegithalos caudatus","Long-tailed Tit",0.196864187717438,"20240802_055002.wav"
"51",57,60,"Parus major","Great Tit",0.191544845700264,"20240802_055002.wav"
"52",0,3,"Prunella modularis","Dunnock",0.383077710866928,"20240802_055502.wav"
"53",0,3,"Anthus trivialis","Tree Pipit",0.106609113514423,"20240802_055502.wav"
"54",3,6,"Prunella modularis","Dunnock",0.153511881828308,"20240802_055502.wav"
"55",3,6,"Certhia brachydactyla","Short-toed Treecreeper",0.117665618658066,"20240802_055502.wav"
"56",6,9,NA,NA,NA,"20240802_055502.wav"
"57",9,12,NA,NA,NA,"20240802_055502.wav"
"58",12,15,NA,NA,NA,"20240802_055502.wav"
"59",15,18,NA,NA,NA,"20240802_055502.wav"
"60",18,21,NA,NA,NA,"20240802_055502.wav"
"61",21,24,"Cyanistes caeruleus","Eurasian Blue Tit",0.125571995973587,"20240802_055502.wav"
"62",24,27,NA,NA,NA,"20240802_055502.wav"
"63",27,30,"Parus major","Great Tit",0.190742209553719,"20240802_055502.wav"
"64",30,33,"Regulus regulus","Goldcrest",0.268699914216995,"20240802_055502.wav"
"65",30,33,"Phylloscopus collybita","Common Chiffchaff",0.111915722489357,"20240802_055502.wav"
"66",33,36,"Parus major","Great Tit",0.14957894384861,"20240802_055502.wav"
"67",36,39,"Phylloscopus trochilus","Willow Warbler",0.156123742461205,"20240802_055502.wav"
"68",36,39,"Poecile montanus","Willow Tit",0.116564631462097,"20240802_055502.wav"
"69",39,42,"Regulus regulus","Goldcrest",0.730096578598022,"20240802_055502.wav"
