"","start","end","scientific_name","common_name","confidence","file"
"1",0,3,"Zonotrichia leucophrys","White-crowned Sparrow",0.166376978158951,"20240802_054502.wav"
"2",0,3,"Salpinctes obsoletus","Rock Wren",0.126898065209389,"20240802_054502.wav"
"3",3,6,NA,NA,NA,"20240802_054502.wav"
"4",6,9,NA,NA,NA,"20240802_054502.wav"
"5",9,12,"Columba palumbus","Common Wood-Pigeon",0.993455588817596,"20240802_054502.wav"
"6",12,15,"Columba palumbus","Common Wood-Pigeon",0.992685437202454,"20240802_054502.wav"
"7",15,18,"Columba palumbus","Common Wood-Pigeon",0.987524628639221,"20240802_054502.wav"
"8",18,21,"Columba palumbus","Common Wood-Pigeon",0.838654100894928,"20240802_054502.wav"
"9",21,24,"Phoenicurus phoenicurus","Common Redstart",0.156930387020111,"20240802_054502.wav"
"10",21,24,"Phylloscopus trochilus","Willow Warbler",0.109010279178619,"20240802_054502.wav"
"11",24,27,"Phoenicurus phoenicurus","Common Redstart",0.177618160843849,"20240802_054502.wav"
"12",27,30,"Columba oenas","Stock Dove",0.154425486922264,"20240802_054502.wav"
"13",30,33,"Palmeria dolei","Akohekohe",0.363885462284088,"20240802_054502.wav"
"14",30,33,"Malacocincla sepiaria","Horsfield's Babbler",0.178237020969391,"20240802_054502.wav"
"15",30,33,"Phoenicurus phoenicurus","Common Redstart",0.114613473415375,"20240802_054502.wav"
"16",33,36,"Palmeria dolei","Akohekohe",0.652425110340118,"20240802_054502.wav"
"17",33,36,"Iole viridescens","Olive Bulbul",0.370544344186783,"20240802_054502.wav"
"18",33,36,"Pseudonestor xanthophrys","Maui Parrotbill",0.165924176573753,"20240802_054502.wav"
"19",33,36,"Phoenicurus phoenicurus","Common Redstart",0.10988325625658,"20240802_054502.wav"
"20",36,39,"Phylloscopus trochilus","Willow Warbler",0.445082932710648,"20240802_054502.wav"
"21",36,39,"Palmeria dolei","Akohekohe",0.24775230884552,"20240802_054502.wav"
"22",36,39,"Pseudonestor xanthophrys","Maui Parrotbill",0.227372735738754,"20240802_054502.wav"
"23",39,42,"Palmeria dolei","Akohekohe",0.306138128042221,"20240802_054502.wav"
"24",39,42,"Phoenicurus phoenicurus","Common Redstart",0.121815629303455,"20240802_054502.wav"
"25",42,45,"Palmeria dolei","Akohekohe",0.251308888196945,"20240802_054502.wav"
"26",42,45,"Pseudonestor xanthophrys","Maui Parrotbill",0.125210836529732,"20240802_054502.wav"
"27",45,48,"Phylloscopus collybita","Common Chiffchaff",0.250774025917053,"20240802_054502.wav"
"28",45,48,"Phoenicurus phoenicurus","Common Redstart",0.205134719610214,"20240802_054502.wav"
"29",45,48,"Palmeria dolei","Akohekohe",0.170344904065132,"20240802_054502.wav"
"30",45,48,"Carpodacus erythrinus","Common Rosefinch",0.123902827501297,"20240802_054502.wav"
"31",48,51,"Columba oenas","Stock Dove",0.67560076713562,"20240802_054502.wav"
"32",48,51,"Columba palumbus","Common Wood-Pigeon",0.500361859798431,"20240802_054502.wav"
"33",48,51,"Troglodytes troglodytes","Eurasian Wren",0.113012611865997,"20240802_054502.wav"
"34",51,54,"Columba palumbus","Common Wood-Pigeon",0.282513201236725,"20240802_054502.wav"
"35",51,54,"Columba oenas","Stock Dove",0.147943094372749,"20240802_054502.wav"
"36",54,57,NA,NA,NA,"20240802_054502.wav"
"37",57,60,"Columba palumbus","Common Wood-Pigeon",0.128065079450607,"20240802_054502.wav"
"38",0,3,"Turdus merula","Eurasian Blackbird",0.340750277042389,"20240802_055002.wav"
"39",3,6,"Columba palumbus","Common Wood-Pigeon",0.939586520195007,"20240802_055002.wav"
"40",3,6,"Thripadectes ignobilis","Uniform Treehunter",0.190722584724426,"20240802_055002.wav"
