"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 08:12:43,2025-10-11,"08:12:43",0,0,0,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__08-12-43(1).JPG",2
"2","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 09:07:50,2025-10-11,"09:07:50",3307,55.1,0.9,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__09-07-50(1).JPG",1
"3","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 20:27:42,2025-10-11,"20:27:42",40792,679.9,11.3,0.5,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__20-27-42(3).JPG",7
"4","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 20:58:46,2025-10-11,"20:58:46",1864,31.1,0.5,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__20-58-46(1).JPG",2
"5","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 21:37:11,2025-10-11,"21:37:11",2305,38.4,0.6,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__21-37-11(1).JPG",5
"6","Capreolus_capreolus","Capreolus_capreolus",2025-10-11 23:29:03,2025-10-11,"23:29:03",6712,111.9,1.9,0.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-11__23-29-03(2).JPG",1
"7","Capreolus_capreolus","Capreolus_capreolus",2025-10-12 00:41:23,2025-10-12,"00:41:23",4340,72.3,1.2,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-12__00-41-23(3).JPG",2
"8","Capreolus_capreolus","Capreolus_capreolus",2025-10-12 04:52:49,2025-10-12,"04:52:49",15086,251.4,4.2,0.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-12__04-52-49(1).JPG",10
"9","Capreolus_capreolus","Capreolus_capreolus",2025-10-12 07:28:41,2025-10-12,"07:28:41",9352,155.9,2.6,0.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-12__07-28-41(1).JPG",2
"10","Capreolus_capreolus","Capreolus_capreolus",2025-10-12 19:23:51,2025-10-12,"19:23:51",42910,715.2,11.9,0.5,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-12__19-23-51(1).JPG",1
"11","Capreolus_capreolus","Capreolus_capreolus",2025-10-12 23:43:43,2025-10-12,"23:43:43",15592,259.9,4.3,0.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-12__23-43-43(1).JPG",2
"12","Capreolus_capreolus","Capreolus_capreolus",2025-10-14 01:10:19,2025-10-14,"01:10:19",91596,1526.6,25.4,1.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-14__01-10-19(1).JPG",3
"13","Capreolus_capreolus","Capreolus_capreolus",2025-10-14 02:29:34,2025-10-14,"02:29:34",4755,79.2,1.3,0.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-14__02-29-34(1).JPG",2
"14","Capreolus_capreolus","Capreolus_capreolus",2025-10-15 00:38:14,2025-10-15,"00:38:14",79720,1328.7,22.1,0.9,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-15__00-38-14(1).JPG",2
"15","Capreolus_capreolus","Capreolus_capreolus",2025-10-15 21:13:19,2025-10-15,"21:13:19",74105,1235.1,20.6,0.9,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-15__21-13-19(1).JPG",1
"16","Capreolus_capreolus","Capreolus_capreolus",2025-10-15 22:56:25,2025-10-15,"22:56:25",6186,103.1,1.7,0.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-15__22-56-25(1).JPG",1
"17","Capreolus_capreolus","Capreolus_capreolus",2025-10-16 18:46:00,2025-10-16,"18:46:00",71375,1189.6,19.8,0.8,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-16__18-46-00(1).JPG",3
"18","Capreolus_capreolus","Capreolus_capreolus",2025-10-17 07:31:22,2025-10-17,"07:31:22",45922,765.4,12.8,0.5,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-17__07-31-22(1).JPG",1
"19","Capreolus_capreolus","Capreolus_capreolus",2025-10-17 08:07:10,2025-10-17,"08:07:10",2148,35.8,0.6,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-17__08-07-10(1).JPG",1
"20","Capreolus_capreolus","Capreolus_capreolus",2025-10-17 18:50:23,2025-10-17,"18:50:23",38593,643.2,10.7,0.4,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-17__18-50-23(1).JPG",3
"21","Capreolus_capreolus","Capreolus_capreolus",2025-10-18 00:25:29,2025-10-18,"00:25:29",20106,335.1,5.6,0.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-18__00-25-29(1).JPG",2
"22","Capreolus_capreolus","Capreolus_capreolus",2025-10-18 01:17:45,2025-10-18,"01:17:45",3136,52.3,0.9,0,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-18__01-17-45(1).JPG",2
"23","Capreolus_capreolus","Capreolus_capreolus",2025-10-19 02:26:08,2025-10-19,"02:26:08",90503,1508.4,25.1,1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-19__02-26-08(1).JPG",1
"24","Capreolus_capreolus","Capreolus_capreolus",2025-10-23 07:46:17,2025-10-23,"07:46:17",364809,6080.1,101.3,4.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-23__07-46-17(1).JPG",1
"25","Capreolus_capreolus","Capreolus_capreolus",2025-10-23 09:07:48,2025-10-23,"09:07:48",4891,81.5,1.4,0.1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-23__09-07-48(1).JPG",1
"26","Capreolus_capreolus","Capreolus_capreolus",2025-10-23 18:21:19,2025-10-23,"18:21:19",33211,553.5,9.2,0.4,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-23__18-21-19(1).JPG",1
"27","Capreolus_capreolus","Capreolus_capreolus",2025-10-24 19:00:11,2025-10-24,"19:00:11",88732,1478.9,24.6,1,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-24__19-00-11(1).JPG",6
"28","Capreolus_capreolus","Capreolus_capreolus",2025-10-25 09:33:37,2025-10-25,"09:33:37",52406,873.4,14.6,0.6,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-25__09-33-37(2).JPG",1
"29","Capreolus_capreolus","Capreolus_capreolus",2025-10-25 18:33:37,2025-10-25,"18:33:37",32400,540,9,0.4,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-25__18-33-37(1).JPG",7
"30","Capreolus_capreolus","Capreolus_capreolus",2025-10-28 08:49:15,2025-10-28,"08:49:15",224138,3735.6,62.3,2.6,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-28__08-49-15(1).JPG",1
"31","Capreolus_capreolus","Capreolus_capreolus",2025-10-28 15:14:14,2025-10-28,"15:14:14",23099,385,6.4,0.3,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-28__15-14-14(1).JPG",4
"32","Capreolus_capreolus","Capreolus_capreolus",2025-10-28 20:35:05,2025-10-28,"20:35:05",19251,320.9,5.3,0.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-28__20-35-05(2).JPG",1
"33","Capreolus_capreolus","Capreolus_capreolus",2025-10-30 12:49:28,2025-10-30,"12:49:28",144863,2414.4,40.2,1.7,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-30__12-49-28(1).JPG",2
"34","Capreolus_capreolus","Capreolus_capreolus",2025-10-31 04:23:13,2025-10-31,"04:23:13",56025,933.8,15.6,0.7,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-31__04-23-13(1).JPG",2
"35","Capreolus_capreolus","Capreolus_capreolus",2025-10-31 09:26:22,2025-10-31,"09:26:22",18189,303.1,5.1,0.2,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-10-31__09-26-22(1).JPG",1
"36","Capreolus_capreolus","Capreolus_capreolus",2025-11-02 18:45:37,2025-11-02,"18:45:37",206355,3439.2,57.3,2.4,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-02__18-45-37(1).JPG",3
"37","Capreolus_capreolus","Capreolus_capreolus",2025-11-06 01:21:22,2025-11-06,"01:21:22",282945,4715.8,78.6,3.3,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-06__01-21-22(2).JPG",8
"38","Capreolus_capreolus","Capreolus_capreolus",2025-11-09 21:35:36,2025-11-09,"21:35:36",332054,5534.2,92.2,3.8,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-09__21-35-36(1).JPG",5
"39","Capreolus_capreolus","Capreolus_capreolus",2025-11-10 09:06:04,2025-11-10,"09:06:04",41428,690.5,11.5,0.5,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-10__09-06-04(1).JPG",2
"40","Capreolus_capreolus","Capreolus_capreolus",2025-11-17 09:36:41,2025-11-17,"09:36:41",606637,10110.6,168.5,7,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-17__09-36-41(1).JPG",1
"41","Capreolus_capreolus","Capreolus_capreolus",2025-11-21 17:34:51,2025-11-21,"17:34:51",374290,6238.2,104,4.3,"D:/silwood/DSCF/Capreolus_capreolus","04__2025-11-21__17-34-51(1).JPG",2
"42","Columba_palumbus","Columba_palumbus",2025-11-16 12:52:56,2025-11-16,"12:52:56",0,0,0,0,"D:/silwood/DSCF/Columba_palumbus","04__2025-11-16__12-52-56(1).JPG",3
"43","Columba_palumbus","Columba_palumbus",2025-11-17 10:10:00,2025-11-17,"10:10:00",76624,1277.1,21.3,0.9,"D:/silwood/DSCF/Columba_palumbus","04__2025-11-17__10-10-00(1).JPG",2
"44","Columba_palumbus","Columba_palumbus",2025-11-21 14:32:23,2025-11-21,"14:32:23",361343,6022.4,100.4,4.2,"D:/silwood/DSCF/Columba_palumbus","04__2025-11-21__14-32-23(1).JPG",4
"45","Columba_palumbus","Columba_palumbus",2025-11-23 15:11:52,2025-11-23,"15:11:52",175169,2919.5,48.7,2,"D:/silwood/DSCF/Columba_palumbus","04__2025-11-23__15-11-52(1).JPG",3
"46","Garrulus_glandarius","Garrulus_glandarius",2025-11-21 14:24:34,2025-11-21,"14:24:34",0,0,0,0,"D:/silwood/DSCF/Garrulus_glandarius","04__2025-11-21__14-24-34(1).JPG",1
"47","Homo_sapiens","Homo_sapiens",2025-06-20 12:00:19,2025-06-20,"12:00:19",0,0,0,0,"D:/silwood/DSCF/Homo_sapiens","04__2025-06-20__12-00-19(1).JPG",3
"48","Homo_sapiens","Homo_sapiens",2025-10-08 11:07:41,2025-10-08,"11:07:41",9500842,158347.4,2639.1,110,"D:/silwood/DSCF/Homo_sapiens","04__2025-10-08__11-07-41(1).JPG",3
"49","Homo_sapiens","Homo_sapiens",2025-11-02 10:41:39,2025-11-02,"10:41:39",2158438,35974,599.6,25,"D:/silwood/DSCF/Homo_sapiens","04__2025-11-02__10-41-39(1).JPG",1
"50","Homo_sapiens","Homo_sapiens",2025-11-24 11:04:37,2025-11-24,"11:04:37",1902178,31703,528.4,22,"D:/silwood/DSCF/Homo_sapiens","04__2025-11-24__11-04-37(1).JPG",2
"51","Muntiacus_reevesi","Muntiacus_reevesi",2025-10-09 01:23:52,2025-10-09,"01:23:52",0,0,0,0,"D:/silwood/DSCF/Muntiacus_reevesi","04__2025-10-09__01-23-52(1).JPG",2
"52","Muntiacus_reevesi","Muntiacus_reevesi",2025-10-09 03:28:22,2025-10-09,"03:28:22",7470,124.5,2.1,0.1,"D:/silwood/DSCF/Muntiacus_reevesi","04__2025-10-09__03-28-22(1).JPG",2
