,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,DL-12,Capreolus_capreolus,10/10/2025 07:50,10/10/2025,07:50:23,0,0,0,0,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-10__07-50-23(1).JPG,4
2,DL-12,Capreolus_capreolus,13/10/2025 10:05,13/10/2025,10:05:15,267292,4454.9,74.2,3.1,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-13__10-05-15(1).JPG,7
3,DL-12,Capreolus_capreolus,15/10/2025 08:36,15/10/2025,08:36:33,167478,2791.3,46.5,1.9,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-15__08-36-33(1).JPG,4
4,DL-12,Capreolus_capreolus,17/10/2025 20:35,17/10/2025,20:35:51,215958,3599.3,60,2.5,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-17__20-35-51(1).JPG,2
5,DL-12,Capreolus_capreolus,18/10/2025 01:02,18/10/2025,01:02:58,16027,267.1,4.5,0.2,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-18__01-02-58(1).JPG,1
6,DL-12,Capreolus_capreolus,20/10/2025 20:23,20/10/2025,20:23:25,242427,4040.4,67.3,2.8,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-20__20-23-25(1).JPG,5
7,DL-12,Capreolus_capreolus,22/10/2025 07:55,22/10/2025,07:55:02,127897,2131.6,35.5,1.5,C:/Users/Home/Downloads/DL-12/Capreolus_capreolus,DL-12__2025-10-22__07-55-02(1).JPG,4
8,DL-12,Capreolus_capreolus,25/10/2025 18:38,25/10/2025,18:38:47,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-25__18-38-47(1).JPG,7
9,DL-12,Capreolus_capreolus,30/10/2025 06:54,30/10/2025,06:54:02,389715,6495.2,108.3,4.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-30__06-54-02(1).JPG,4
10,DL-12,Capreolus_capreolus,30/10/2025 19:47,30/10/2025,19:47:12,46390,773.2,12.9,0.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-30__19-47-12(1).JPG,6
11,DL-12,Capreolus_capreolus,04/11/2025 18:41,04/11/2025,18:41:00,428028,7133.8,118.9,5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-11-04__18-41-00(1).JPG,6
12,DL-12,Capreolus_capreolus,05/11/2025 06:56,05/11/2025,06:56:23,44123,735.4,12.3,0.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-11-05__06-56-23(1).JPG,2
13,DL-12,Capreolus_capreolus,08/11/2025 20:10,08/11/2025,20:10:29,0,0,0,0,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Capreolus_capreolus,DL-12__2025-11-08__20-10-29(1).JPG,2
14,DL-12,Capreolus_capreolus,17/11/2025 15:23,17/11/2025,15:23:07,760358,12672.6,211.2,8.8,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Capreolus_capreolus,DL-12__2025-11-17__15-23-07(1).JPG,8
15,DL-12,Capreolus_capreolus,20/11/2025 04:59,20/11/2025,04:59:56,221809,3696.8,61.6,2.6,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Capreolus_capreolus,DL-12__2025-11-20__04-59-56(1).JPG,1
16,DL-12,Capreolus_capreolus,20/11/2025 15:05,20/11/2025,15:05:27,36331,605.5,10.1,0.4,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Capreolus_capreolus,DL-12__2025-11-20__15-05-27(1).JPG,14
17,DL-12,Capreolus_capreolus,21/11/2025 08:20,21/11/2025,08:20:33,62106,1035.1,17.3,0.7,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Capreolus_capreolus,DL-12__2025-11-21__08-20-33(1).JPG,10
18,DL-12,Columba_palumbus,20/11/2025 16:57,20/11/2025,16:57:59,0,0,0,0,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/Columba_palumbus,DL-12__2025-11-20__16-57-59(1).JPG,2
19,DL-12,domestic_dog,18/11/2025 15:49,18/11/2025,15:49:44,0,0,0,0,C:/Users/asus/Desktop/IC_R/assessment3/camera/DL-12/DL-12/domestic_dog,DL-12__2025-11-18__15-49-44(1).JPG,2
20,DL-12,Meles_meles,16/10/2025 00:57,16/10/2025,00:57:01,0,0,0,0,C:/Users/Home/Downloads/DL-12/Meles_meles,DL-12__2025-10-16__00-57-01(1).JPG,2
21,DL-12,Meles_meles,19/10/2025 04:50,19/10/2025,04:50:41,273220,4553.7,75.9,3.2,C:/Users/Home/Downloads/DL-12/Meles_meles,DL-12__2025-10-19__04-50-41(1).JPG,2
22,DL-12,Meles_meles,09/10/2025 03:01,09/10/2025,03:01:35,2698,45,0.8,0,D:/R/RStudio/data/DL-12output/species_subfolder/Meles meles,101MEDIA__2025-10-09__03-01-35(1).JPG,11
23,DL-12,Meles_meles,25/10/2025 04:20,25/10/2025,04:20:08,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Meles_meles,DL-12__2025-10-25__04-20-08(1).JPG,2
