"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"1","Station 108","Apodemus_sylvaticus",2025-11-21 20:27:48,2025-11-21,"20:27:48",0,0,0,0,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Apodemus_sylvaticus","Station 108__2025-11-21__20-27-48(1).JPG",3
"2","Station 108","Capreolus_capreolus",2025-10-20 13:54:24,2025-10-20,"13:54:24",0,0,0,0,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-20__13-54-24(1).JPG",8
"3","Station 108","Capreolus_capreolus",2025-10-23 17:34:29,2025-10-23,"17:34:29",272405,4540.1,75.7,3.2,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-23__17-34-29(1).JPG",3
"4","Station 108","Capreolus_capreolus",2025-10-23 23:30:09,2025-10-23,"23:30:09",21340,355.7,5.9,0.2,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-23__23-30-09(1).JPG",3
"5","Station 108","Capreolus_capreolus",2025-10-25 17:46:51,2025-10-25,"17:46:51",152202,2536.7,42.3,1.8,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-25__17-46-51(1).JPG",12
"6","Station 108","Capreolus_capreolus",2025-10-26 17:25:49,2025-10-26,"17:25:49",85138,1419,23.6,1,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-26__17-25-49(1).JPG",6
"7","Station 108","Capreolus_capreolus",2025-10-26 18:44:47,2025-10-26,"18:44:47",4738,79,1.3,0.1,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-26__18-44-47(1).JPG",6
"8","Station 108","Capreolus_capreolus",2025-10-27 00:36:37,2025-10-27,"00:36:37",21110,351.8,5.9,0.2,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-10-27__00-36-37(1).JPG",12
"9","Station 108","Capreolus_capreolus",2025-11-02 17:13:57,2025-11-02,"17:13:57",578240,9637.3,160.6,6.7,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-11-02__17-13-57(1).JPG",3
"10","Station 108","Capreolus_capreolus",2025-11-04 03:47:42,2025-11-04,"03:47:42",124425,2073.8,34.6,1.4,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-11-04__03-47-42(1).JPG",6
"11","Station 108","Capreolus_capreolus",2025-11-10 15:16:31,2025-11-10,"15:16:31",559729,9328.8,155.5,6.5,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-11-10__15-16-31(4).JPG",3
"12","Station 108","Capreolus_capreolus",2025-11-11 23:41:00,2025-11-11,"23:41:00",116669,1944.5,32.4,1.3,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-11-11__23-41-00(1).JPG",2
"13","Station 108","Capreolus_capreolus",2025-11-21 13:22:00,2025-11-21,"13:22:00",826860,13781,229.7,9.6,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Capreolus_capreolus","Station 108__2025-11-21__13-22-00(1).JPG",3
"14","Station 108","Chiroptera sp.",2025-11-18 18:01:30,2025-11-18,"18:01:30",0,0,0,0,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Chiroptera sp.","Station 108__2025-11-18__18-01-30(1).JPG",3
"15","Station 108","Homo_sapiens",2025-10-08 11:02:54,2025-10-08,"11:02:54",0,0,0,0,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Homo_sapiens","Station 108_1__2025-10-08__11-02-54(1).JPG",18
"16","Station 108","Homo_sapiens",2025-10-10 09:41:43,2025-10-10,"09:41:43",167929,2798.8,46.6,1.9,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Homo_sapiens","Station 108_1__2025-10-10__09-41-43(3).JPG",1
"17","Station 108","Homo_sapiens",2025-10-10 11:27:31,2025-10-10,"11:27:31",6348,105.8,1.8,0.1,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Homo_sapiens","Station 108_1__2025-10-10__11-27-31(1).JPG",26
"18","Station 108","Muntiacus_reevesi",2025-10-11 00:44:13,2025-10-11,"00:44:13",0,0,0,0,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Muntiacus_reevesi","Station 108__2025-10-11__00-44-13(1).JPG",6
"19","Station 108","Muntiacus_reevesi",2025-10-11 15:49:49,2025-10-11,"15:49:49",54336,905.6,15.1,0.6,"/Users/reed/Rstudio/Data/LIFE70072 week9/2025 13/Station 108/Muntiacus_reevesi","Station 108__2025-10-11__15-49-49(1).JPG",12
