,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,n_images
1,DL-12,Capreolus_capreolus,2025/10/25 18:38,2025/10/25,18:38:47,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-25__18-38-47(1).JPG,7
2,DL-12,Capreolus_capreolus,2025/10/30 6:54,2025/10/30,6:54:02,389715,6495.2,108.3,4.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-30__06-54-02(1).JPG,4
3,DL-12,Capreolus_capreolus,2025/10/30 19:47,2025/10/30,19:47:12,46390,773.2,12.9,0.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-10-30__19-47-12(1).JPG,6
4,DL-12,Capreolus_capreolus,2025/11/4 18:41,2025/11/4,18:41:00,428028,7133.8,118.9,5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-11-04__18-41-00(1).JPG,6
5,DL-12,Capreolus_capreolus,2025/11/5 6:56,2025/11/5,6:56:23,44123,735.4,12.3,0.5,C:/Users/94248/Desktop/output/DL-12/Capreolus_capreolus,DL-12__2025-11-05__06-56-23(1).JPG,2
6,DL-12,Meles_meles,2025/10/25 4:20,2025/10/25,4:20:08,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Meles_meles,DL-12__2025-10-25__04-20-08(1).JPG,2
7,DL-12,Muntiacus_reevesi,2025/10/22 18:02,2025/10/22,18:02:46,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-22__18-02-46(1).JPG,2
8,DL-12,Muntiacus_reevesi,2025/10/24 1:16,2025/10/24,1:16:56,112450,1874.2,31.2,1.3,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-24__01-16-56(1).JPG,4
9,DL-12,Muntiacus_reevesi,2025/10/24 17:51,2025/10/24,17:51:46,59690,994.8,16.6,0.7,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-24__17-51-46(1).JPG,6
10,DL-12,Muntiacus_reevesi,2025/10/25 4:37,2025/10/25,4:37:01,38715,645.2,10.8,0.4,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-25__04-37-01(1).JPG,33
11,DL-12,Muntiacus_reevesi,2025/10/25 7:12,2025/10/25,7:12:13,9312,155.2,2.6,0.1,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-25__07-12-13(1).JPG,42
12,DL-12,Muntiacus_reevesi,2025/10/27 1:11,2025/10/27,1:11:04,151131,2518.8,42,1.8,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-27__01-11-04(1).JPG,3
13,DL-12,Muntiacus_reevesi,2025/10/27 2:27,2025/10/27,2:27:05,4561,76,1.3,0.1,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-27__02-27-05(1).JPG,6
14,DL-12,Muntiacus_reevesi,2025/10/29 4:59,2025/10/29,4:59:51,181966,3032.8,50.5,2.1,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-29__04-59-51(6).JPG,2
15,DL-12,Muntiacus_reevesi,2025/10/29 23:42,2025/10/29,23:42:40,67369,1122.8,18.7,0.8,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-29__23-42-40(1).JPG,4
16,DL-12,Muntiacus_reevesi,2025/10/30 15:55,2025/10/30,15:55:36,58376,972.9,16.2,0.7,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-30__15-55-36(1).JPG,4
17,DL-12,Muntiacus_reevesi,2025/10/30 19:41,2025/10/30,19:41:58,13582,226.4,3.8,0.2,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-10-30__19-41-58(1).JPG,10
18,DL-12,Muntiacus_reevesi,2025/11/1 13:12,2025/11/1,13:12:11,149413,2490.2,41.5,1.7,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-01__13-12-11(1).JPG,1
19,DL-12,Muntiacus_reevesi,2025/11/1 16:17,2025/11/1,16:17:15,11104,185.1,3.1,0.1,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-01__16-17-15(1).JPG,8
20,DL-12,Muntiacus_reevesi,2025/11/3 3:59,2025/11/3,3:59:47,128552,2142.5,35.7,1.5,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-03__03-59-47(1).JPG,3
21,DL-12,Muntiacus_reevesi,2025/11/3 19:19,2025/11/3,19:19:54,55207,920.1,15.3,0.6,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-03__19-19-54(1).JPG,2
22,DL-12,Muntiacus_reevesi,2025/11/5 5:38,2025/11/5,5:38:13,123499,2058.3,34.3,1.4,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-05__05-38-13(1).JPG,2
23,DL-12,Muntiacus_reevesi,2025/11/5 17:04,2025/11/5,17:04:48,41195,686.6,11.4,0.5,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-05__17-04-48(1).JPG,7
24,DL-12,Muntiacus_reevesi,2025/11/6 4:30,2025/11/6,4:30:40,41152,685.9,11.4,0.5,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-06__04-30-40(1).JPG,6
25,DL-12,Muntiacus_reevesi,2025/11/7 2:23,2025/11/7,2:23:51,78791,1313.2,21.9,0.9,C:/Users/94248/Desktop/output/DL-12/Muntiacus_reevesi,DL-12__2025-11-07__02-23-51(1).JPG,1
26,DL-12,Oryctolagus_cuniculus,2025/10/24 7:17,2025/10/24,7:17:33,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-24__07-17-33(1).JPG,4
27,DL-12,Oryctolagus_cuniculus,2025/10/24 18:08,2025/10/24,18:08:45,39072,651.2,10.9,0.5,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-24__18-08-45(1).JPG,2
28,DL-12,Oryctolagus_cuniculus,2025/10/25 7:26,2025/10/25,7:26:05,47840,797.3,13.3,0.6,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-25__07-26-05(1).JPG,30
29,DL-12,Oryctolagus_cuniculus,2025/10/26 6:53,2025/10/26,6:53:06,84421,1407,23.4,1,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-26__06-53-06(1).JPG,2
30,DL-12,Oryctolagus_cuniculus,2025/10/27 5:59,2025/10/27,5:59:00,83154,1385.9,23.1,1,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-27__05-59-00(1).JPG,14
31,DL-12,Oryctolagus_cuniculus,2025/10/28 17:09,2025/10/28,17:09:42,126642,2110.7,35.2,1.5,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-28__17-09-42(1).JPG,12
32,DL-12,Oryctolagus_cuniculus,2025/10/29 6:09,2025/10/29,6:09:08,46766,779.4,13,0.5,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-29__06-09-08(1).JPG,2
33,DL-12,Oryctolagus_cuniculus,2025/10/29 7:00,2025/10/29,7:00:28,3080,51.3,0.9,0,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-29__07-00-28(1).JPG,2
34,DL-12,Oryctolagus_cuniculus,2025/10/31 7:19,2025/10/31,7:19:41,173953,2899.2,48.3,2,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-31__07-19-41(1).JPG,2
35,DL-12,Oryctolagus_cuniculus,2025/10/31 16:55,2025/10/31,16:55:29,34548,575.8,9.6,0.4,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-10-31__16-55-29(1).JPG,6
36,DL-12,Oryctolagus_cuniculus,2025/11/1 6:46,2025/11/1,6:46:53,49884,831.4,13.9,0.6,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-11-01__06-46-53(1).JPG,2
37,DL-12,Oryctolagus_cuniculus,2025/11/1 8:40,2025/11/1,8:40:34,6821,113.7,1.9,0.1,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-11-01__08-40-34(1).JPG,2
38,DL-12,Oryctolagus_cuniculus,2025/11/4 6:26,2025/11/4,6:26:37,251163,4186,69.8,2.9,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-11-04__06-26-37(1).JPG,2
39,DL-12,Oryctolagus_cuniculus,2025/11/5 5:35,2025/11/5,5:35:52,83355,1389.2,23.2,1,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-11-05__05-35-52(1).JPG,12
40,DL-12,Oryctolagus_cuniculus,2025/11/5 7:13,2025/11/5,7:13:45,5873,97.9,1.6,0.1,C:/Users/94248/Desktop/output/DL-12/Oryctolagus_cuniculus,DL-12__2025-11-05__07-13-45(1).JPG,4
41,DL-12,Phasianus_colchicus,2025/10/29 14:35,2025/10/29,14:35:52,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Phasianus_colchicus,DL-12__2025-10-29__14-35-52(1).JPG,2
42,DL-12,Sciurus_carolinensis,2025/10/22 16:56,2025/10/22,16:56:29,0,0,0,0,C:/Users/94248/Desktop/output/DL-12/Sciurus_carolinensis,DL-12__2025-10-22__16-56-29(1).JPG,1
43,DL-12,Sciurus_carolinensis,2025/10/24 16:12,2025/10/24,16:12:23,170154,2835.9,47.3,2,C:/Users/94248/Desktop/output/DL-12/Sciurus_carolinensis,DL-12__2025-10-24__16-12-23(1).JPG,6
44,DL-12,Sciurus_carolinensis,2025/10/26 10:45,2025/10/26,10:45:49,153206,2553.4,42.6,1.8,C:/Users/94248/Desktop/output/DL-12/Sciurus_carolinensis,DL-12__2025-10-26__10-45-49(1).JPG,2
45,DL-12,Sciurus_carolinensis,2025/10/26 13:13,2025/10/26,13:13:55,8886,148.1,2.5,0.1,C:/Users/94248/Desktop/output/DL-12/Sciurus_carolinensis,DL-12__2025-10-26__13-13-55(1).JPG,12
46,DL-12,Sciurus_carolinensis,2025/10/27 16:10,2025/10/27,16:10:22,96987,1616.4,26.9,1.1,C:/Users/94248/Desktop/output/DL-12/Sciurus_carolinensis,DL-12__2025-10-27__16-10-22(1).JPG,3
