Community,Species,Video file name,Camera trap name,Days since camera trap was installed,Classifier,Date (mm/dd/yy),Time (hh:mm),# individuals,Primary Behavior (what behavior they exhibited the most),Notes
A,Sciurus carolinensis,E6_IMG_0033,E4,7,Aiyonne Bryant,10/14/25,16:19,1,Vigilant,
A,Odocoileus virginianus,E6_IMG_0034,E4,7,Aiyonne Bryant,10/14/25,17:22,1,N/A,
A,Odocoileus virginianus,E6_IMG_0035,E4,7,Aiyonne Bryant,10/14/25,17:46,1,Running,
B,Odocoileus virginianus,E2_IMG_0020,E2,2,Cooper Koers,10/9/25,14:24,1,Running,Fast!
B,Dryobates pubescens,E2_IMG_0031,E2,3,Cevina Hwang,10/10/25,16:01,1,Vigilant,female downy woodpecker; resting and flying
B,Odocoileus virginianus,E2_IMG_0023,E2,2,Cooper Koers,10/9/25,21:49,1,Walking,
A,Odocoileus virginianus,E6_IMG_0036,E4,7,Aiyonne Bryant,10/14/25,17:54,1,Walking,Has antlers
B,Sciurus carolinensis,E2_IMG_0031,E2,7,Cevina Hwang,10/10/25,16:01,1,Running,black
A,Odocoileus virginianus,E6_IMG_0037,E4,7,Aiyonne Bryant,10/14/25,18:43,1,Walking,night
A,Odocoileus virginianus,E6_IMG_0038,E4,8,Aiyonne Bryant,10/15/25,5:32,1,Walking,has antlers
B,Odocoileus virginianus,E2_IMG_0035,E2,4,Cevina Hwang,10/11/25,0:48,1,Walking,
B,Turdus migratorius,E2_IMG_0030,E2,3,Cooper Koers,10/10/25,15:49,1,Vigilant,
A,Sciurus carolinensis,E6_IMG_0039,E4,8,Aiyonne Bryant,10/15/25,9:33,1,Walking,black
A,Odocoileus virginianus,E6_IMG_0032,E4,7,Aiyonne Bryant,10/14/25,12:40,1,Walking,
B,Odocoileus virginianus,E2_IMG_0036,E2,7,Cevina Hwang,10/11/25,6:14,3,Walking,
A,Tamias striatus,E6_IMG_0032,E4,7,Aiyonne Bryant,10/14/25,12:40,1,Running,
B,Odocoileus virginianus,E2_IMG_0039,E2,5,Cevina Hwang,10/12/25,17:38,1,Foraging,
A,Odocoileus virginianus,E6_IMG_0043,E4,8,Aiyonne Bryant,10/15/25,13:18,,N/A,
B,Odocoileus virginianus,E2_IMG_0041,E2,5,Cevina Hwang,10/12/25,22:38,1,Walking,
B,Odocoileus virginianus,E2_IMG_0044,E2,7,Cevina Hwang,10/14/25,6:18,1,Walking,
A,Sciurus carolinensis,E6_IMG_0040,E4,8,Aiyonne Bryant,10/15/25,10:07,1,Walking,black squirrel
B,Odocoileus virginianus,E3_IMG_0013,E3,2,Arias Deukmedjian,10/9/25,8:25,1,Walking,
A,Tamias striatus,E6_IMG_0040,E4,8,Aiyonne Bryant,10/15/25,10:07,1,Running,
B,Odocoileus virginianus,E3_IMG_0046,E3,7,Nikki Lin,10/14/25,6:07,1,Walking,walking while sniffing
B,Odocoileus virginianus,E2_IMG_0047,E2,7,Cevina Hwang,10/14/25,17:55,3,Foraging,
A,Odocoileus virginianus,E6_IMG_0044,E4,8,Aiyonne Bryant,10/15/25,13:31,1,Walking,
B,Odocoileus virginianus,E1_IMG_0007,E1,4,Annalisa Jenkins,10/11/25,6:07,3,Walking,Looks like one was a juvenile
B,Odocoileus virginianus,E3_IMG_0014,E3,2,Arias Deukmedjian,10/9/25,22:22,1,Walking,
B,Odocoileus virginianus,E2_IMG_0052,E2,9,Cevina Hwang,10/16/25,17:01,1,Walking,
B,Odocoileus virginianus,E3_IMG_0015,E3,2,Arias Deukmedjian,10/9/25,22:23,1,Running,
B,Vulpes vulpes,E3_IMG_0079,E3,14,Aylin Ceylan,10/17/25,12:04,1,Walking,
B,Odocoileus virginianus,E3_IMG_0047,E3,7,Nikki Lin,10/14/25,6:09,1,Walking,
A,Sciurus carolinensis,E6_IMG_0042,E4,8,Aiyonne Bryant,10/15/25,10:19,1,Foraging,
A,Sciurus carolinensis,E6_IMG_0029,E4,7,Cooper Koers,10/14/25,11:57,1,Foraging,black
A,Odocoileus virginianus,E6_IMG_0031,E4,7,Cooper Koers,10/14/25,12:37,1,Foraging,lady
A,Sciurus carolinensis,E6_IMG_0028,E4,7,Cooper Koers,10/14/25,7:16,1,Walking,
B,Odocoileus virginianus,E3_IMG_0048,E3,7,Nikki Lin,10/14/25,6:20,1,Vigilant,staring at camera while walking 
A,Sciurus carolinensis,E6_IMG_0045,E4,8,Aiyonne Bryant,10/15/25,17:21,1,Running,
B,Odocoileus virginianus,E1_IMG_0009,E1,5,Annalisa Jenkins,10/12/25,1:14,2,Walking,one stood in front of the camera then walked by followed by the second one
A,Odocoileus virginianus,E6_IMG_0063,E4,13,Cevina Hwang,10/20/25,2:51,1,Walking,
A,Didelphis virginiana,E6_IMG_0014,E4,3,Cooper Koers,10/10/25,20:51,1,Walking,
A,Sciurus carolinensis,E6_IMG_0030,E4,7,Cooper Koers,10/14/25,12:28,1,Walking,
B,Procyon lotor,E3_IMG_0017,E3,2,Arias Deukmedjian,10/9/25,23:27,1,Walking,
A,Sciurus carolinensis,E6_IMG_0047,E4,9,Aiyonne Bryant,10/16/25,7:30,1,Running,
B,Odocoileus virginianus,E3_IMG_0049,E3,7,Nikki Lin,10/14/25,7:15,1,Walking,
B,Odocoileus virginianus,E3_IMG_0050,E3,7,Nikki Lin,10/14/25,10:19,1,Foraging,
A,Sciurus carolinensis,E6_IMG_0061,E4,12,Cevina Hwang,10/19/25,15:58,1,Running,
B,Procyon lotor,E3_IMG_0018,E3,2,Arias Deukmedjian,10/10/25,1:16,1,Walking,
B,Odocoileus virginianus,E3_IMG_0051,E3,7,Nikki Lin,10/14/25,10:23,1,Walking,
A,Odocoileus virginianus,E6_IMG_0046,E4,9,Aiyonne Bryant,10/16/25,4:43,1,Walking,
A,Procyon lotor,E6_IMG_0060,E4,12,Cevina Hwang,10/19/25,5:05,1,Foraging,
A,Sciurus carolinensis,E6_IMG_0049,E4,9,Aiyonne Bryant,10/16/25,14:17,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0080,E3,10,Aylin Ceylan,10/17/25,1:02,1,Walking,has antlers
B,Odocoileus virginianus,E3_IMG_0020,E3,3,Arias Deukmedjian,10/10/25,15:54,1,Foraging,
B,Turdus migratorius,E1_IMG_0011,E1,7,Annalisa Jenkins,10/14/25,16:14,1,Walking,
A,Odocoileus virginianus,E6_ING_0058,E4,12,Cevina Hwang,10/19/25,0:35,1,Foraging,
B,Sciurus carolinensis,E3_IMG_0083,E3,10,Aylin Ceylan,10/17/25,13:49,1,Running,
B,Odocoileus virginianus,E3_IMG_0053,E3,7,Nikki Lin,10/14/25,17:41,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0021,E3,3,Arias Deukmedjian,10/10/25,17:29,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0022,E3,3,Arias Deukmedjian,10/10/25,17:42,1,Walking,
A,Sciurus carolinensis,E6_IMG_0057,E4,11,Cevina Hwang,10/18/25,17:30,1,Running,
B,Odocoileus virginianus,E3_IMG_0054,E3,7,Nikki Lin,10/14/25,17:50,1,N/A,
B,Sciurus carolinensis,E1_IMG_0013,E1,8,Annalisa Jenkins,10/15/25,12:26,1,Walking,
B,Odocoileus virginianus,E3_IMG_0023,E3,3,Arias Deukmedjian,10/10/25,18:23,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0055,E3,7,Nikki Lin,10/14/25,17:54,2,Walking,
A,Odocoileus virginianus,E6_IMG_0051,E4,9,Aiyonne Bryant,10/16/25,17:06,1,Walking,
A,Sciurus carolinensis,E6_09,E4,2,Talia Schenck,10/9/25,18:50,1,Foraging,"picks up something from leaves and eats it, continues ruffling through leaves. dark/night. black color morph"
A,Sciurus carolinensis,E6_10,E4,3,Talia Schenck,10/10/25,10:14,1,Foraging,"digging through leaves, leaping, didn't eat anything. day/light"
A,Sciurus carolinensis,E6_11,E4,3,Talia Schenck,10/10/25,14:03,2,Foraging,first squirrel is grey foraging. second is black and runs in and chases the grey one. day/light
A,Sciurus carolinensis,E6_12,E4,3,Talia Schenck,10/10/25,14:49,1,Foraging,black color morph. day/light
A,Sciurus carolinensis,E6_13,E4,3,Talia Schenck,10/10/25,16:32,1,Foraging,black color morph. day/light
A,Odocoileus virginianus,E6_15,E4,4,Talia Schenck,10/11/25,2:03,1,Walking,dark/night. can't see if it has antlers. 
A,Procyon lotor,E6_16,E4,4,Talia Schenck,10/11/25,2:17,1,Walking,dark/night.
A,Odocoileus virginianus,E6_18,E4,4,Talia Schenck,10/11/25,11:59,1,Foraging,"has spots, juvenile. eats leaves. day/light. "
A,Odocoileus virginianus,E6_19,E4,4,Talia Schenck,10/11/25,12:00,1,Foraging,"has spots, juvenile. eats leaves. day/light. likely the individual same as E6_18"
A,Odocoileus virginianus,E6_03,E4,0,Talia Schenck,10/7/25,18:09,1,Foraging,sniffing ground/plants but didn't eat anything. female. light/day 
A,Odocoileus virginianus,E6_04,E4,0,Talia Schenck,10/7/25,18:45,1,Foraging,sniffing ground/plants but didn't eat anything. female. dark/night 
A,Odocoileus virginianus,E6_05,E4,1,Talia Schenck,10/8/25,18:00,1,N/A,"antlers only in clip, hitting against a tree. male. light/day"
A,Odocoileus virginianus,E6_06,E4,1,Talia Schenck,10/8/25,18:02,1,Vigilant,has antlers. male. light/day
A,Odocoileus virginianus,E6_07,E4,2,Talia Schenck,10/9/25,18:13,1,Running,dark/night. female
B,Procyon lotor,E3_IMG_0024,E3,4,Arias Deukmedjian,10/11/25,1:31,1,Resting,
A,Sciurus carolinensis,E6_IMG_0017,E4,4,Cooper Koers,10/11/25,8:54,1,Running,
B,Sciurus carolinensis,E1_IMG_0014,E1,8,Annalisa Jenkins,10/15/25,17:51,1,Foraging,
A,Odocoileus virginianus,E6_IMG_0062,E4,12,Cooper Koers,10/19/25,11:35,1,Walking,
A,Odocoileus virginianus,E6_IMG_0052,E4,10,Aiyonne Bryant,10/17/22,1:02,1,Foraging,"either eating or fighting the bush, unclear which"
A,Sciurus carolinensis,E6_IMG_0053,E4,10,Cevina Hwang,10/17/25,8:00,1,Foraging,
A,Odocoileus virginianus,E6_IMG_0025,E4,6,Aiyonne Bryant,10/13/25,12:46,1,Foraging,
B,Odocoileus virginianus,E3_IMG_0056,E3,7,Nikki Lin,10/14/25,18:28,1,Walking,
